1508, 1395, 1519, 1395, 1519, 1415, 1508, 1415
1479, 1366, 1491, 1366, 1491, 1385, 1479, 1385
1898, 1333, 1947, 1333, 1947, 1419, 1898, 1419
1129, 1220, 1161, 1220, 1161, 1265, 1129, 1265
1846, 1219, 1868, 1219, 1868, 1279, 1846, 1279
1754, 1218, 1794, 1218, 1794, 1280, 1754, 1280
1848, 1217, 1877, 1217, 1877, 1280, 1848, 1280
1700, 1216, 1742, 1216, 1742, 1281, 1700, 1281
1647, 1216, 1688, 1216, 1688, 1279, 1647, 1279
1549, 1215, 1574, 1215, 1574, 1278, 1549, 1278
1594, 1214, 1634, 1214, 1634, 1279, 1594, 1279
1487, 1212, 1528, 1212, 1528, 1277, 1487, 1277
1345, 1212, 1380, 1212, 1380, 1275, 1345, 1275
1289, 1212, 1330, 1212, 1330, 1275, 1289, 1275
1395, 1211, 1437, 1211, 1437, 1276, 1395, 1276
1235, 1209, 1277, 1209, 1277, 1274, 1235, 1274
1129, 1209, 1169, 1209, 1169, 1272, 1129, 1272
1182, 1208, 1223, 1208, 1223, 1274, 1182, 1274
1019, 1207, 1060, 1207, 1060, 1271, 1019, 1271
2188, 861, 2200, 861, 2200, 894, 2188, 894
2299, 715, 2325, 715, 2325, 752, 2299, 752
2323, 701, 2341, 701, 2341, 749, 2323, 749
1590, 665, 1602, 665, 1602, 682, 1590, 682
2266, 663, 2290, 663, 2290, 694, 2266, 694
2181, 656, 2199, 656, 2199, 703, 2181, 703
1887, 646, 1909, 646, 1909, 690, 1887, 690
1863, 646, 1887, 646, 1887, 687, 1863, 687
1843, 646, 1862, 646, 1862, 690, 1843, 690
1816, 645, 1835, 645, 1835, 688, 1816, 688
1423, 645, 1444, 645, 1444, 684, 1423, 684
1791, 644, 1814, 644, 1814, 689, 1791, 689
1762, 644, 1782, 644, 1782, 688, 1762, 688
1740, 644, 1761, 644, 1761, 682, 1740, 682
1693, 643, 1715, 643, 1715, 687, 1693, 687
1584, 642, 1610, 642, 1610, 686, 1584, 686
1621, 641, 1642, 641, 1642, 687, 1621, 687
1560, 641, 1582, 641, 1582, 685, 1560, 685
1473, 640, 1495, 640, 1495, 684, 1473, 684
1443, 640, 1465, 640, 1465, 682, 1443, 682
1403, 639, 1437, 639, 1437, 683, 1403, 683
1379, 639, 1400, 639, 1400, 683, 1379, 683
1126, 637, 1137, 637, 1137, 661, 1126, 661
1103, 634, 1122, 634, 1122, 662, 1103, 662
